"","PC1","PC2","PC3","PC4","PC5"
"362","D10Jhu81e","Celf1","Fzr1","Hyal3","Cyp26b1"
"363","Msrb3","Ppp3ca","Tmem50b","Arl11","Cul7"
"364","Dnajb5","Gata3","Enc1","Tmem234","Scaf1"
"365","Flot2","Zfp592","Otop3","Mrpl40","Vim"
"366","Adsl","Tuba1b","Krt24","Phc3","Iqch"
"367","Fbxo40","Chek2","Mical3","Eif3g","Lyst"
"368","Gyg","Tle4","Dmkn","Gpr50","Ccar2"
"369","Angpt1","Axin2","Desi1","Homer3","Cd248"
"370","Cacna1s","Man2b2","Irx2","Hoxc5","Wisp2"
"371","Gnai3","Bcl6","Gatm","Pex14","Lsm4"
"372","S100a1","Tnfaip8l2","Fbxo11","Tra2b","Stk4"
"373","Phkb","Cdc45","Fgf18","Aplf","Rhbdl2"
"374","Adssl1","Glrx3","Pex3","Dnah11","Rnf207"
"375","C1qtnf9","D8Ertd738e","Serpinb6d","Rcan3","Pot1b"
"376","Hibadh","Slc25a21","Twist1","Fbxo10","Copb2"
"377","Purb","Smap2","6430548M08Rik","4930511M11Rik","Smarcal1"
"378","Atg9a","Syk","Slc7a6","Numb","Oxct2b"
"379","Plxnb1","Gusb","Rtn4rl1","Mmp13","Rrbp1"
"380","Irgm2","Hmgb2","Ube2q2","Fam178a","Osbpl9"
"381","Gdi2","Kif21a","Nab2","Rlim","Ak4"
"382","Notch1","Fgfbp3","Fam211b","Plekhm3","E130309D14Rik"
"383","Des","Fancd2","Frem2","Ctr9","Dcp2"
"384","Ptp4a2","Lmo2","Copz1","R3hcc1","Hepacam"
"385","Arap3","Phka2","Ecscr","Tmem127","Arl6ip4"
"386","St3gal3","Fam46c","Reep6","Kcnk16","Dap3"
"387","Scd2","Il1rl1","Itgb1","Stra6","Lrch3"
"388","Rapgefl1","Thbs4","Tfr2","Brsk1","Sap30"
"389","Ets2","Pithd1","Setbp1","Swt1","Klc1"
"390","Vwa8","Lbr","Arl15","Rbm10","Snx4"
"391","Tstd3","Lama4","Prune2","Pdgfra","Uvrag"
"392","Coa5","2200002D01Rik","Erp29","Pdia4","Mc1r"
"393","Sh3glb1","Irf4","Tbc1d2b","Sned1","7-Sep"
"394","Flt1","Apol11a","Cyp26b1","Flrt3","Ccdc9"
"395","Celsr2","Asns","Rab11fip1","Tmod2","Ptk2b"
"396","Eci1","Cyba","Otog","Tor1aip2","Pcdh17"
"397","Slc1a4","2610008E11Rik","Med13","Med8","Fam114a1"
"398","Uqcc1","Ezh1","Krt10","Twsg1","Lox"
"399","Pard6g","Ptpn3","Il1f9","Rnaset2b","Cog7"
"400","Pak6","Zfp46","Raver2","Hs3st3a1","Flii"
"401","Chchd10","Lonrf1","Gm11992","Msn","Elovl2"
"402","Napepld","Map2k4","Tjp3","Cnga2","Phactr4"
"403","Coro1c","Fcna","Cacna1c","Pid1","Mup9"
"404","AI661453","Cd97","Cebpa","Clec3b","Mprip"
"405","Dcun1d2","Zfyve9","Asap2","Ubxn1","Dmrt2"
"406","Plxnb2","Ddx50","Efnb2","Polr3f","Ap3m2"
