"","PC1","PC2","PC3","PC4","PC5"
"407","Clcn1","Serpinf1","Adrm1","Nf1","Irf3"
"408","Cand2","Otud5","Nyap1","Nkain4","Cnn2"
"409","Klf4","Prkar2b","Cyp3a57","Coa6","Axl"
"410","Alpk2","Dlgap5","Krt15","Golt1b","Haus1"
"411","Srl","Szrd1","Drp2","Tnfaip8l1","Tmem81"
"412","Mlf1","Enpp3","Chp2","Hirip3","Kmt2d"
"413","Ppp1r1a","Fads1","Itpripl2","Tmeff1","Pctp"
"414","Cdh5","Adcy1","Slc12a2","Nuggc","Tnfrsf4"
"415","Itga6","Siglech","Akr1c19","C8g","Gnpda1"
"416","Ccng1","Pkhd1l1","Maml2","Coasy","Cdk12"
"417","Gbas","Acsbg1","Arl2bp","Tbx4","Creld2"
"418","Mapk12","Nfam1","Mkx","Il6st","Klhl10"
"419","Rcan2","Col6a1","Klk5","H3f3a","Bcr"
"420","Tmem143","Pstpip1","Trabd","Pcnp","Hdgfrp2"
"421","Svip","Ugt1a1","Apcdd1","Vmn1r58","Mrps10"
"422","Slc25a4","Npdc1","Frmd4a","Lrp2","Tmem5"
"423","Myo18b","Rps6ka3","Gfod2","Xpc","Ptgis"
"424","Mfn2","Brd3","Slc7a8","4933413G19Rik","Tra2a"
"425","Got2","Araf","Brca2","Tgds","Gpatch4"
"426","Gatsl2","Spry2","Rdh16","Smo","Cd151"
"427","Sgca","Brca1","Rab24","Krt17","Gata6"
"428","Usp2","Tfr2","Kctd14","Ddx6","B3gnt9"
"429","Tdg","Wdr41","Parp10","Lzts2","Sgk3"
"430","Mylpf","Tlr1","Cdk5r1","Cbs","Tor1aip2"
"431","Parp3","Usp16","Trio","Scaf1","Cdh13"
"432","Mospd1","Adcy7","Fndc3b","Sarm1","Serpine1"
"433","Nrap","Cp","9130008F23Rik","Med24","Tmem208"
"434","H60c","Rcan1","Aqp9","Gm13287","Efnb2"
"435","Fastk","Man2b1","Col11a1","Prx","Rmi1"
"436","Sorbs1","Spag5","Sphk1","Rexo4","Cep89"
"437","Akr1b10","Spop","Spag17","Nktr","Spo11"
"438","Asb11","Eef1g","Snrpc","Slc25a47","Cd81"
"439","Tpm1","Cops7a","Pdzrn3","Dpysl2","Zfp623"
"440","Fbxo31","Brpf3","Lamc3","Dgke","Psmd5"
"441","Tcea3","3830406C13Rik","Slc5a9","Taok2","E4f1"
"442","Tshz1","Huwe1","Ism1","Atp13a3","Fgf12"
"443","Slc35g1","Fcgr2b","Ccnt2","Krt15","Hist2h3c1"
"444","Pcyt1a","Rasl2-9","Foxc1","Col18a1","Hectd3"
"445","Atl2","Slc25a15","Agpat4","Dcbld2","Cgnl1"
"446","Eps8l2","Ehd2","Nmu","Hspa14","Srsf11"
"447","Tnnt3","Arhgap30","P4ha3","Slc15a2","Akr1c18"
"448","Dhrs7c","Lcp1","Rps6kb2","Rangap1","Treml4"
"449","Zfand5","Eif2ak2","Ndrg1","Nuak1","C2cd4d"
"450","Fkbp3","Carns1","Tdh","Rimklb","Pih1d1"
"451","Ckm","Lnp","1110008F13Rik","Tmem98","Phc3"
"452","Srpk3","Stub1","Prdm14","Thsd4","Kdm1b"
"453","Actg1","Gcnt1","Pmvk","Klri1","Loxl2"
"454","Gcsh","Ppm1m","Hlcs","BC100451","Myg1"
"455","Trps1","Sms","Ppic","Nav1","Whsc1l1"
"456","Vps4a","Smc1a","Fuk","Mamld1","Plcxd1"
"457","Fgfr2","Asap1","Pcdh1","Zfp593","Cyp2s1"
"458","Tmem52","Ccr3","Sytl2","C78339","Srp19"
"459","Ndufs3","Fbxw2","Fam184b","Tbca","Elovl5"
"460","Rbfox1","Cep57l1","Larp1","Gm13306","Ano9"
"461","Mfn1","Sh3bgrl","Rnasek","Ap2s1","Sparcl1"
"462","Myoz3","BC005764","Ednrb","Gnpnat1","Prkcdbp"
"463","Ndufaf1","Cox19","Ctnnbip1","Elk3","Ifih1"
"464","Tle3","Paqr7","Lbh","Sh3bp4","Dus3l"
"465","Prelid1","Ptov1","Apbb1","Fbf1","Zmat1"
"466","Hadha","Ufsp1","Nfkbib","Dhrs13","Dck"
"467","Rpl3l","Arpp19","Nbeal2","Unc5c","Foxred2"
"468","Prune","Wrn","Olfml2a","Adam33","Islr2"
"469","Gas1","Ptprd","Rbp7","Suv420h2","Fbln7"
"470","Ifi202b","Gtdc1","Nckap5","Lpar1","Rnf144b"
"471","Ube2b","Me2","Mrto4","Mrpl39","Pkp2"
"472","Mapkapk2","Npc2","Pnpla5","Zbtb38","Tspan4"
"473","Arf6","Cyth4","Sec61b","Crot","Usp37"
"474","Vegfb","Bub1","Adamts14","Cfdp1","Ccdc74a"
"475","Zfp641","Pdp1","Tecr","Snd1","Asb6"
"476","Cbfa2t3","C1rl","Slc36a1","Tssk4","Ighv6-5"
"477","Car12","Stx11","Gbp10","Unc5b","Bmp3"
"478","S100a16","Otub1","Apod","Hsdl1","Krtap20-2"
"479","Bola3","Add2","Mettl7a1","Dnajb14","Hcn3"
"480","Luzp1","Pcsk5","Ptn","Pbx1","Rhbdd3"
"481","Il20rb","Mllt11","Asprv1","Sntb1","Mtmr4"
"482","Sdhd","Higd2a","Pitpna","Aagab","Ap3d1"
"483","Me3","Hoxa10","Nppc","Sowahb","Tbx4"
"484","Dnajc27","Psmc6","Ssx2ip","Ino80c","Stard3nl"
"485","Sspn","Copg1","Nbn","Nsmce1","Fstl1"
"486","Fubp3","Ift140","Caln1","Ltbr","Olfm2"
"487","Ldhd","Aoah","Slc12a1","5430421N21Rik","Timm10"
"488","Pde2a","Slc41a2","Mfsd7c","Bex2","Cdk5rap3"
"489","Ybx1","Tln1","Rgs4","Pramef12","Zfp850"
"490","Sfn","Bmp2","Alcam","Tbc1d15","Stk38"
"491","Tnni2","Csf2ra","Fibin","Tmem87a","Maff"
"492","Acadl","Cnih4","Nckap5l","Sun2","Rtf1"
"493","Cep85","Snx22","Scarf2","Bms1","Samd5"
"494","Stk40","Prcp","Cilp2","Pum2","Smarce1"
"495","Rgs12","Pik3cg","Tnfrsf21","Taok1","Prelp"
"496","Dnajc28","Cybb","Gli3","Cdyl","Atmin"
"497","Kpna3","Arhgap11a","Dcp2","Zfp526","Slc25a45"
"498","Trp53inp2","Specc1","Rcn1","Fbxo11","Slitrk6"
"499","Ywhag","Cd300lb","Kcnj13","Rfxap","Lrrn3"
"500","Acadm","Hcls1","Ankrd50","Naa16","Apitd1"
"501","Ptk7","Mob2","Ptch1","Capn12","Tbcc"
"502","Tspan8","Fes","Mcm2","Arpc3","P2ry4"
"503","Aldh6a1","Ms4a6b","Tgm1","Micu2","Shq1"
"504","Klc3","Bard1","Ptch2","Lrrn2","Dap"
"505","Ppp1r13l","Sipa1","Serpinb12","Mepce","Ctcf"
"506","Slc25a17","Zfp652","Eef2k","Banf1","Serping1"
"507","Agpat1","Ercc6l","Casp9","Yars","Znhit6"
"508","Cacnb1","Prkrir","Eif5a","Wbscr22","Nav1"
"509","Mink1","Gimap9","Lrrn1","Ythdf1","Galnt16"
"510","Dram2","Nfkbie","Slc39a10","Gpr83","Ly6c1"
"511","Sdhc","Cnot3","D3Ertd254e","Galr2","Galnt12"
"512","Hccs","Rps27","Clcn3","Exosc2","Anapc2"
"513","Ndufs7","Itgb2","Ptrh1","Fibin","Snw1"
"514","Cdcp1","Lrp6","Gm94","1600002K03Rik","Clptm1l"
"515","Stim1","Stx2","Gng2","Ankle2","Bhlhb9"
"516","Nampt","Aen","Acoxl","Ifitm1","Comp"
"517","Afap1l1","Rabac1","Cyp27b1","Ciao1","Lancl2"
"518","Phka1","Vps13d","Flad1","Ly6f","Kars"
"519","ENSMUSG00000064363","Mmp19","8-Sep","Rpp25","Slc35d1"
"520","S100a14","Pamr1","Prrt2","Prdm14","Tmem132d"
"521","Papd7","Phf20l1","Lxn","Tbc1d17","Igfbp6"
"522","Sync","Zc3hav1","Pid1","Tle2","Lpar1"
"523","Ccm2l","Ptges3","Arl6ip1","Tspan14","Arl6ip1"
"524","Plk1s1","Nucb2","Rassf10","Pitrm1","Cilp"
"525","9030617O03Rik","Smad4","C030039L03Rik","Rab33a","Cope"
"526","Fxr1","4632428N05Rik","Slc39a8","Setdb1","Dcps"
"527","Fam83c","Rnf7","Mrgprb1","Ptn","Ncl"
"528","Cep170b","Tnfrsf1b","Crispld1","Syna","Peli2"
"529","Ppm1k","Thoc7","Zfp85-rs1","Rundc1","Ofcc1"
"530","Ndufs4","Il31ra","Tmem159","Lamc3","Vps29"
"531","Srpr","Glipr2","Eef1g","Slc39a1","Acvr2a"
"532","Fsd2","Keap1","2410015M20Rik","Pkd2","Aadac"
"533","Kctd1","Lmnb1","Elfn1","Arid4a","Susd1"
"534","Tmod4","Med12","Lphn3","Dda1","Tgif2"
"535","Acox1","Tmc5","Camk2n1","Gosr2","Il22ra2"
"536","D15Ertd621e","Oscar","Spata2","Sec22b","Gtpbp1"
"537","Rbm20","Dtymk","D630003M21Rik","Ankrd52","Mtss1"
"538","Sptbn2","Emilin1","Prelp","4930503L19Rik","Galnt9"
"539","Seh1l","Cyld","Stard13","Lilra6","Ispd"
"540","Atp6v0a4","Zbtb18","Tmem164","Calcrl","Asphd2"
"541","Rpl11","Cd300ld","Mdc1","Rnf103","Cyp46a1"
"542","Pde4d","Stx8","Hyal3","Znhit6","Ch25h"
"543","Tmem64","Rgl1","Aldh1b1","Kdelc1","Gemin8"
"544","Ndufaf5","Ctsb","Sars","Far1","Ramp3"
"545","Sar1b","Pelp1","Vwa1","Prss22","Rasa4"
"546","Camk2b","Isl2","Atp6v0b","Serf1","Nop14"
"547","Oma1","Pck2","Serpinb3a","Mesp2","Ptgdr"
"548","Txlnb","Nrros","Flrt2","Hoxa13","Hnrnpdl"
"549","Ptprs","Metrn","Tm7sf3","Fam161a","Milr1"
"550","Ptbp1","Ccl9","Tpk1","Pggt1b","Kdelc2"
"551","Trim55","Spata13","Snx15","Atp2b1","Sarnp"
"552","Flnc","Aldh9a1","Espl1","Mecom","Nipa1"
"553","Ndufb8","1700025G04Rik","Calm4","Clpx","Ccdc80"
"554","Fxyd3","Ccne1","Wfdc5","Grpel2","Pou2f3"
"555","Txn1","Rhof","Hepacam","Crebrf","Gm4540"
"556","Unc45b","Psme4","Cry1","Spopl","Eif2b2"
"557","Etv3","Prdx4","Fzd7","Igfbp5","Ddah2"
"558","Phtf1","Sun1","Cyr61","Zfp114","Atp6v0b"
"559","Tmod3","Chst12","Mapre2","Diap2","Fnbp1"
"560","Gfm2","Tnks2","Nrn1","Rbfox2","Pepd"
"561","Ssh2","Sdhaf1","Ceacam1","2310044G17Rik","Mef2b"
"562","St13","Pard6b","Prkcdbp","Pde1a","Lzts3"
"563","Hsph1","Myadm","Tspyl2","Nsdhl","Lgi4"
"564","Hk2","Fcrla","Hsdl2","Ackr3","Lmnb1"
"565","Casd1","C130079G13Rik","Prx","Rbfa","Rad54l2"
"566","Parp1","Dapk2","Mbp","Vdr","Nova1"
"567","Hmgcs1","Upf2","BC100451","Ppp1r13b","Olfr1507"
"568","Tmem66","Mesp1","Clptm1","Paip2","Gm4297"
"569","Kcna7","Rnmt","Ston1","Selenbp1","Npat"
"570","Gatad1","Tab1","Ccnb1ip1","Chmp4b","Kri1"
"571","Tnks1bp1","Zc3h10","Mpp2","Yipf4","Kif5a"
"572","Narf","Sh3tc1","Ces2e","Larp6","Cdipt"
"573","Top2b","Liph","Gstm1","Fbxw11","Capns1"
"574","Zfp750","Pde3b","Gabre","Frmd7","Sike1"
"575","Gatad2a","Usp12","Syt11","Sumo1","Rffl"
"576","H2-Q6","Stat4","Aldh5a1","Kptn","Zbtb17"
"577","Erbb2","Pcolce","Rabep2","Slc6a13","Ccdc150"
"578","Ctnnd1","Pcyox1l","Dmxl2","Dsel","Anks4b"
"579","Camk2g","Nr3c1","Ctsk","Sv2a","Inpp5k"
"580","Mmachc","Serpinb11","Meox2","Madd","Hoxd3"
"581","Coro6","Cdca8","Gars","Lpxn","Psma6"
"582","Pkp3","Ranbp10","Suox","Zc3h18","Esm1"
"583","Gyltl1b","Cldn19","Col24a1","PLA2G4B","Efhd1"
"584","Fech","Bcas1","Sdk2","Hmox2","Kcnj16"
"585","Trim29","Dok2","Ggct","Col11a2","1810055G02Rik"
"586","Kat2b","Eif3e","Olfml2b","Nyap1","Fam154b"
"587","Asb2","Usp25","Aadacl3","Ylpm1","Shisa5"
"588","Cul3","Pcnx","Gpr125","Kazald1","Phactr1"
"589","Vangl2","Ttll4","Hebp2","Grin2c","Tmem62"
"590","Gpam","Spag7","2610301B20Rik","Coq10b","Zdhhc2"
"591","Vps4b","Ears2","Crispld2","D8Ertd82e","Col6a1"
"592","Rpl5","Rcn3","G6pdx","Chd3","Rmdn3"
"593","Sqstm1","Ispd","Yeats4","Herpud2","Pianp"
"594","Sox6","Pik3ap1","Itga9","Dlk1","Uimc1"
"595","Vav3","Timm13","Mapk14","3010026O09Rik","D17Wsu104e"
"596","Abcc1","Arrdc3","Rnpc3","Nsg1","Cst6"
"597","Tnip1","Ccdc28b","Slc37a2","Olfr287","Rbfa"
"598","Slc27a1","Hdgf","Zdhhc5","Zfp317","Mapk1ip1l"
"599","Tbc1d4","Enpep","C9","Pdia6","Efna5"
"600","Ptpla","Cacul1","Atp6v0c","F830016B08Rik","Vgll4"
"601","ENSMUSG00000064345","Bcl2l2","Fam219b","Agrn","Ddx55"
"602","Col17a1","Fen1","Itga10","Ino80b","Cxcl16"
"603","Ndufa8","Hbb-bs","Map2","Ankrd10","Raver1"
"604","5430435G22Rik","Rrm2","Gm1078","Dpysl4","Hapln2"
"605","Pdrg1","Ctxn3","Timp2","Rab37","Tmem33"
"606","Atp1b2","Tm2d1","Sele","Cox4i2","Frem2"
"607","9430020K01Rik","Med28","Adamtsl2","Elk4","Snx2"
"608","Hopx","Slc38a1","Ubtd1","AI846148","Ccdc122"
"609","Rab15","Tmem101","Sdr9c7","Kdm5c","Arl8b"
"610","Sgcg","Nox4","Clic3","Zcchc11","3110052M02Rik"
"611","Ryr1","Ash1l","Vasp","Mfap2","Cdh2"
"612","Ssh3","Ctse","Clk1","Rras","Gmppb"
"613","Tbx1","Lasp1","Psmd8","Gpr176","Atp2c1"
"614","Msi2","Sfxn5","Lypd5","Polr3a","Mtor"
"615","Pptc7","Trip12","Abhd17c","Nap1l5","Krtap6-1"
"616","Mfsd2a","Dclre1b","Kit","Ahctf1","Krt80"
"617","Actn2","Shisa5","Scube2","Glud1","Pde1a"
"618","Marveld1","Usf1","Rplp2","Trp53bp2","Abhd14a"
"619","Lama5","Psma2","Mgll","Ypel5","Crispld2"
"620","Tfap2c","Rbp4","Cacna2d3","Uck2","C1qtnf5"
"621","Mlxip","Mpeg1","Eps8l1","Ltc4s","Trafd1"
"622","Yipf7","Irf7","Eef2","Icam2","Fbln2"
"623","Rap1a","Pcyt1b","Rai14","Klf11","Tspyl5"
"624","Mief2","Rpl22","Myl6b","Tlr4","Marcks"
"625","2310035C23Rik","Bglap3","Slc6a8","Cyp4f13","Mgat5"
"626","Slc16a3","Cep128","Il17rd","Usp27x","Wdfy3"
"627","Ly6d","Ogfrl1","Fbln2","Tchp","Atg16l1"
"628","Cnot6l","Lcn8","C1galt1c1","Gpx7","Wdr31"
"629","Spg7","Gm11758","Spred1","Anapc1","Col22a1"
"630","Lrp4","Prdm13","Scrn1","Rad54l","Fn1"
"631","Ndufs6","Ssxb8","Cib1","Arl10","Rprm"
"632","Ndufab1","Hsd3b3","Dusp15","Chd9","Fcgbp"
"633","Lrrc2","Thsd1","Flrt3","Ifrd1","Rhoc"
"634","Ccnk","Tal1","Serpinb7","Oas1c","Myoc"
"635","Mllt3","Rad23b","Tmprss11d","Ctdspl2","Ptprt"
"636","Asb8","Ncf2","Prr15l","Gpkow","Oxa1l"
"637","Ube2i","Bcl3","Slc39a13","Csad","Serpinf1"
"638","Fxyd1","Reep2","Uap1l1","Pnn","Ltbp4"
"639","Ccnd1","Usp24","B3gat1","Cdc42","Zcchc4"
"640","Atp1b4","Cd53","Gsta2","Dlx6","Imp3"
"641","Qk","Rab11a","B3galt4","Uxs1","Amer1"
"642","Rps18","Myo1f","Meis1","Fam102b","Wrb"
"643","0610009O20Rik","Sec24d","AI597468","Laptm4a","Gpc2"
"644","Aldh3b2","Kcna1","Cacna1g","Ppt1","Zyg11a"
"645","Copg2","Gtf2h5","Dio3","N4bp2","Fbxo47"
"646","E2f6","Tmem159","Tdrd9","Lman2","Il12rb1"
"647","Txndc17","Galc","Pcbp1","Lzic","Lmtk2"
"648","Cox15","Ccnb2","Cpn2","Sh3gl3","Pcgf3"
"649","Mettl11b","Cnn2","Pcdhb19","Cldn3","Scara3"
"650","Kcnj2","Hipk3","Cyp1b1","Akt3","Slc9b2"
"651","Sptssa","Ramp1","Il1f5","Gtpbp1","Gse1"
"652","Ccdc47","Fgf10","Tnfrsf9","Klf10","Zfp507"
"653","Kcnq5","Slc36a2","Rasal1","Ccdc55","Prss43"
"654","Slc26a2","Tex15","3-Mar","Dhx8","Rnaset2a"
"655","Slc16a10","Eif4g2","Fam101b","Wdyhv1","Atraid"
"656","Dirc2","Fyn","Zp2","Cspp1","Cdkn1b"
"657","Lmod1","Aimp1","Xlr3b","Dcaf15","Tbc1d13"
"658","Rpl36a","Fzd7","Igsf11","Ythdf3","Abhd4"
"659","I830012O16Rik","Mki67","BC017158","Smarce1","Mrpl13"
"660","Jph2","Gcnt2","Mob3b","Pin1","Shc2"
"661","Chit1","Ctsz","Aspg","Ptpru","Gper1"
"662","Ndufc2","Atp5g2","Pmaip1","Radil","Tmem159"
"663","Cox7b","Cd37","Ralbp1","Hgfac","Ppp1r12c"
"664","Smarcd3","Med16","Far2","Ddx41","Prlr"
"665","Vapb","Rnft1","Proser2","Slc4a7","Gtf2f1"
"666","Fam220a","Kif5b","Mfsd10","Kank1","BC024978"
"667","Slc25a12","Gsdmd","Slc9a3r1","Tcf4","Polr1c"
"668","St3gal2","Col5a2","Irf2bp1","Wfdc3","Cnga3"
"669","Irf2","Lcp2","Gjb5","Tdgf1","Ccdc94"
"670","Aldh3a1","1190003K10Rik","Spata33","Pram1","Fam129c"
"671","Sec23a","Gsap","Ptk2","F2rl1","Defb1"
"672","Tnik","Bscl2","Prickle2","Als2cr12","Acad8"
"673","As3mt","Serpinb1a","Phf15","Ces2b","Ivl"
"674","Hif1a","Eif5b","Aspn","Gabpa","1190002N15Rik"
"675","l7Rn6","Mcm2","Col8a1","Pdcl","Actr5"
"676","Obscn","Kel","Matn4","Tmx3","Olfr1346"
"677","Ppp1r3c","Kif21b","Wasf1","St6gal1","1810024B03Rik"
"678","Arhgef19","Parp11","Tesc","Sgsm3","Bag5"
"679","H2-Q7","C1qtnf1","Mogs","Ptgir","Fgfr1"
"680","Abcb4","Kmt2a","F3","Ythdc2","Cops2"
"681","2410127L17Rik","Tmem246","Myocd","Pigl","Rnf135"
"682","Atpaf1","Pkhd1","Ap1b1","Cpne3","Slc9a4"
"683","Nsa2","Foxo6","Taldo1","App","Cldn9"
"684","Prkca","Dtl","Tpbg","Dnmt3b","Sil1"
"685","Myf6","Hs6st2","Triqk","Ubald2","Gpaa1"
"686","Fat2","Vwa7","Fubp1","Depdc7","Leo1"
"687","Nap1l4","Gmip","Dcn","Gemin4","Gnal"
"688","Spin1","Tnpo3","Degs1","Plcz1","Kansl1"
"689","Car3","Apobec1","Rars2","Osbpl11","Apoc1"
"690","Polr3g","2310044G17Rik","Wisp2","Batf","Cxx1c"
"691","Rad23a","Adam10","Mpz","4930486L24Rik","Chmp4c"
"692","Sod2","Arcn1","Pla2r1","Msl3l2","Scg3"
"693","Ky","Fam98b","Col6a3","Ttll11","Gm6537"
"694","Zeb1","Map4","Runx1","Ddx59","Hmga2"
"695","Cox6a2","Rab32","Ddn","Ythdc1","Sfrp4"
"696","Akap1","Rab11b","Gpha2","Anp32a","Cers6"
"697","Cyfip1","Hmmr","Gpt","Bend4","Lrp1"
"698","Ndufb3","E2f8","Nat8l","Mapk1","Gpr26"
"699","Bnip3","Zfp251","Zdhhc3","Mbip","Psd"
"700","Pex19","Col26a1","Psme3","Hsp90aa1","Tsen2"
"701","Itpr3","Tapbp","Fam89b","Dcps","Grrp1"
"702","Asb14","Tmem11","Dedd2","Fchsd1","Sostdc1"
"703","Slc38a3","Rusc1","Cib2","Ino80","Hdac7"
"704","Rpl17","Fmr1","Kif7","Map3k8","Cep250"
"705","Lrrc45","Ubqln4","Cav2","Zdhhc8","Pla2g4c"
"706","Rarg","Appl1","Zfp536","Arf1","Aldh1a3"
"707","Ppip5k1","Ncapg2","Zmym4","Cpsf2","Ugdh"
"708","Art3","Ybey","Ptprk","Pip4k2c","1700055N04Rik"
"709","Acat1","Rps24","Snx5","Cln3","Cntn5"
"710","Mut","Sap30l","Tnc","Gas8","Ctla2a"
"711","Tceal7","Psmc1","Stat5a","Mdga2","Clec3a"
"712","Atp2b3","Pigq","Thop1","Lrrc47","Mecom"
"713","Rab38","St3gal1","Txnl4a","Vps72","Fastkd1"
"714","Ubxn2a","Cd5l","Ostf1","2610044O15Rik8","Adh5"
"715","Mast2","Rsu1","Ncor2","Wasl","Bmp1"
"716","Jup","Ntrk3","Lhx5","Psmc2","Dusp15"
"717","Fahd1","Ubn1","Eif1a","Ing3","Ogt"
"718","Rtn2","Speer4e","Cdk2ap2","Eml2","Gpr88"
"719","Pfkfb4","A230050P20Rik","Frmd3","Espnl","Rc3h1"
"720","Edaradd","Grn","Vipr2","Acsl3","Pltp"
"721","Abcd1","Osgep","Stard10","Ly6c1","2410018M08Rik"
"722","6-Mar","Gdpd1","Tspyl5","Socs5","Rps27l"
"723","Trmt6","Tifa","Fam129a","Ccdc9","1700047I17Rik2"
"724","Ndufa12","Ivns1abp","Sec24c","Ccdc61","Erc2"
"725","Rpl32","Trpm2","Rer1","Alg13","Spon1"
"726","Atp5o","1810043H04Rik","Arpc1a","Cep170","Rad51b"
"727","Fam60a","Efnb2","Csnk2a2","Ssc5d","Rnf165"
"728","Sp8","Kif22","Ints5","Il7r","Rbm28"
"729","Nrarp","Mob3a","Fst","Fam171b","Ddr2"
"730","Snta1","Alas2","Pkn3","Mterfd1","Urb1"
"731","Prkcq","Ubxn4","Snx7","Apoh","Errfi1"
"732","Rbm24","Trim58","Ehbp1","Arap1","Rgma"
"733","Taco1","Rab21","Gba","Ctage5","Anapc10"
"734","Rin2","Myh9","Dexi","Rpf2","F2rl1"
"735","Rpl14","Mzb1","Apoa1bp","Naf1","Tox"
"736","Duox1","Rrm1","Socs3","Serping1","Akap8l"
"737","Egln1","Ptpn21","Hoga1","4932438A13Rik","Snx14"
"738","Apol6","Clec5a","Tead4","Myzap","Kmt2a"
"739","Ap1m2","Ubr5","Kcne4","Myo18a","Sp5"
"740","Ndrg2","Ttc9","Trim44","Fam98c","Fignl1"
"741","Bsg","Pcdhb17","Trib2","Rrp7a","Gmppa"
"742","Tmtc1","Snrnp48","Slc35a4","Hras","AA467197"
"743","Atp5j","Piezo1","Bahd1","D19Bwg1357e","Pnn"
"744","Atp1a1","Rpn2","Dock3","Calm2","Safb"
"745","Cwh43","Uaca","Gem","Lap3","Cyp2j9"
"746","Hlf","Sec23ip","Npepps","Ubqln2","Ulk1"
"747","Kbtbd13","Epb4.2","Fam25c","Ggt1","Runx2"
"748","Mapk9","Fam46a","Sgk3","Eif5b","Casp4"
"749","Ucp3","Pcmtd1","Crct1","Haus7","Top1"
"750","Gm4980","Adora1","Lsmd1","Mbnl2","Zhx1"
"751","Xirp2","Metap1","Il15ra","Papln","Maoa"
"752","Mt2","Ncoa7","Psmc5","Tbc1d23","Adamts5"
"753","Hsbp1","Klra8","Paqr7","Macrod2","Kbtbd2"
"754","Fam49b","Decr2","Inpp5b","Trpm1","Spidr"
"755","Rilp","Tenm2","Pla2g5","Gm13152","BC030307"
"756","Rnf10","Arhgdib","Psen1","Slc38a10","Lsm3"
"757","Hspa4l","Laptm4a","Fam162a","B9d1","Aff1"
"758","Ppp1r27","Os9","Tlr7","Ano9","Tmtc4"
"759","Rps26","Acp5","Gm10639","Zfp516","Cenpp"
"760","6330408A02Rik","Dhx58","Slc45a3","Gm5531","Sorbs3"
"761","Eepd1","Ank3","Dus1l","Nhlrc4","Ctgf"
"762","Pkp1","Taok1","Esyt2","Usp49","AU023871"
"763","Fam83g","Ube2m","Klk8","Arhgef12","Fbxo25"
"764","Hoxc10","Gapt","Agpat5","Odc1","Gjc2"
"765","Lman2l","Epor","Cyth3","Cmpk1","Eif3c"
"766","Ndufb4","Il17re","Vps39","Ecm2","Adam10"
"767","Nrbp2","Ankle1","Tmem246","Ubap2l","5430427O19Rik"
"768","Ovol1","Parg","Krt18","Hnrnpdl","Ndrg4"
"769","Pip4k2b","Elk3","Cyp2j12","1190005I06Rik","Rad52"
"770","Rpl12","Chi3l1","Myom3","Tmed2","Tomm22"
"771","Zranb2","4933421I07Rik","Casp14","Npc1","Usp27x"
"772","Fth1","Ube2e1","Thsd1","Nudcd1","Frmd3"
"773","Tet3","Gpr133","Masp1","Rbpj","P4ha3"
"774","Cdca7l","Fmnl1","Rab13","Prmt10","0610010F05Rik"
"775","Cat","Sct","Kifc5b","Myo10","Ugt1a7c"
"776","Cpeb2","Ncoa4","Fstl1","Ddx23","Grk6"
"777","Vdac2","Atp1a3","Robo2","Terf2","Tctn2"
"778","Tfap2b","Taf10","Them5","Tbc1d31","Gm11562"
"779","Rpia","Ctps2","Mark2","Tbc1d2","Kcnd3"
"780","Ibtk","Hif1an","Fam196b","Zfp446","Pard6b"
"781","Agtpbp1","Drp2","Trappc10","Rxfp3","Fas"
"782","Mmab","Acvr1b","Ica1l","Eef1d","Colec10"
"783","Apeh","Ccdc82","A330050F15Rik","Tmem214","Ulbp1"
"784","Dnmt3a","Gtpbp4","Igf2bp2","Rab3ip","Fam20a"
"785","Smtnl2","Strap","Spp1","Cdh3","Acpp"
"786","Scap","Tusc2","Ube2m","Foxn2","4931414P19Rik"
"787","Inppl1","Pilra","Cdk15","Alkbh4","Sdk1"
"788","Rnf145","Ly96","Ext1","Dcbld1","Ahr"
"789","Dip2a","Jak3","Rhbdl3","Hgsnat","Galk2"
"790","Ampd1","Fermt3","Shox2","Acaa1b","Gpank1"
"791","Prpf40a","Emc9","Sema4d","Pwp1","Dnajc11"
"792","G3bp2","Ddx58","Rp1l1","Gpr133","Serpina3g"
"793","Lrrc8e","Pira2","Arhgap24","Cdc42bpa","Dnm1"
"794","Mycl","Hba-a2","Spock2","Grm4","Smg5"
"795","Rtn4","Cenpj","Zfp316","2-Sep","Dcaf17"
"796","Lbx1","Ffar4","Thbs4","Coil","Htra3"
"797","B2m","Dram1","Enpp2","Pinx1","Rasd1"
"798","Cox7a1","Ifi27","Faah","Yaf2","4930579G24Rik"
"799","Kcnj11","Hmha1","Scnn1a","Fstl1","Ccdc23"
"800","Ss18","Upk3a","Caskin1","Zc4h2","Myadm"
"801","Mccc2","Flt4","Aqr","Set","Duxbl1"
"802","Fermt2","Zmpste24","Boc","Slc37a3","Dnah8"
"803","Anln","Runx2","Itih5","Rhbdd1","Pafah1b1"
"804","Sat1","Adprhl1","Gtf3c1","Flii","Otop2"
"805","Jsrp1","Dmrtc2","Tkt","Camk4","Depdc1b"
"806","Mlycd","Esyt3","Gpr173","Greb1","Surf2"
"807","Esr1","Kifc1","Zic5","Myadm","Tstd1"
"808","Klhdc3","5830403L16Rik","Nkpd1","Efr3a","Neu3"
"809","Hfe2","Il10rb","Anapc15","Kcnc2","Fez1"
"810","Acad12","Haus4","Sgtb","Whsc1","Mpped2"
"811","Map3k7cl","Tmem120b","Tmprss11e","Slc35a5","Pcdhga9"
